r1,r2,ang,level,atom_index,atom,mux,muy,muz
1.0,1.5,120.0,mp2,1,O,-0.0,0.08144452,0.16155851
1.0,1.5,120.0,mp2,2,O,0.0,0.25262825,0.00744291
1.0,1.0,123.158,hf,0,C,-0.0,-0.03260449,-0.01764461
1.0,1.0,123.158,hf,1,O,-0.0,0.20281167,0.1681033
1.0,1.0,123.158,hf,2,O,-0.0,0.25165709,0.07784131
1.0,1.0,123.158,mp2,0,C,-0.0,-0.03260449,-0.01764461
1.0,1.0,123.158,mp2,1,O,-0.0,0.20281167,0.1681033
1.0,1.0,123.158,mp2,2,O,-0.0,0.25165709,0.07784131
1.021,1.0,123.158,hf,0,C,-0.0,-0.03351634,-0.01693501
1.021,1.0,123.158,hf,1,O,-0.0,0.20210078,0.17122121
1.021,1.0,123.158,hf,2,O,0.0,0.25110382,0.07188184
1.021,1.0,123.158,mp2,0,C,-0.0,-0.03351634,-0.01693501
1.021,1.0,123.158,mp2,1,O,-0.0,0.20210078,0.17122121
1.021,1.0,123.158,mp2,2,O,0.0,0.25110382,0.07188184
1.0,1.026,123.158,hf,0,C,-0.0,-0.03249148,-0.01902182
1.0,1.026,123.158,hf,1,O,-0.0,0.19624831,0.17153497
1.0,1.026,123.158,hf,2,O,-0.0,0.2543937,0.07494969
1.0,1.026,123.158,mp2,0,C,-0.0,-0.03249148,-0.01902182
1.0,1.026,123.158,mp2,1,O,-0.0,0.19624831,0.17153497
1.0,1.026,123.158,mp2,2,O,-0.0,0.2543937,0.07494969
1.021,1.026,123.158,hf,0,C,0.0,-0.0335052,-0.01836786
1.021,1.026,123.158,hf,1,O,0.0,0.19591057,0.17455128
1.021,1.026,123.158,hf,2,O,0.0,0.25395798,0.06936328
1.021,1.026,123.158,mp2,0,C,0.0,-0.0335052,-0.01836786
1.021,1.026,123.158,mp2,1,O,0.0,0.19591057,0.17455128
1.021,1.026,123.158,mp2,2,O,0.0,0.25395798,0.06936328
1.0,1.053,123.158,hf,0,C,-0.0,-0.03241448,-0.01989828
1.0,1.053,123.158,hf,1,O,-0.0,0.1893189,0.17477578
1.0,1.053,123.158,hf,2,O,-0.0,0.2571049,0.07146832
1.0,1.053,123.158,mp2,0,C,-0.0,-0.03241448,-0.01989828
1.0,1.053,123.158,mp2,1,O,-0.0,0.1893189,0.17477578
1.0,1.053,123.158,mp2,2,O,-0.0,0.2571049,0.07146832
1.021,1.053,123.158,hf,0,C,-0.0,-0.0335415,-0.01931163
1.021,1.053,123.158,hf,1,O,-0.0,0.18933119,0.17769444
1.021,1.053,123.158,hf,2,O,0.0,0.25676266,0.06628693
1.021,1.053,123.158,mp2,0,C,-0.0,-0.0335415,-0.01931163
1.021,1.053,123.158,mp2,1,O,-0.0,0.18933119,0.17769444
1.021,1.053,123.158,mp2,2,O,0.0,0.25676266,0.06628693
1.0,1.079,123.158,hf,0,C,-0.0,-0.03237885,-0.02018293
