r1,r2,ang,level,atom_index,atom,scheme,value
1.0,1.079,120.0,mp2,2,O,Hirshfeld,-0.2510547031
1.0,1.079,120.0,mp2,0,C,VDD,0.4355469921
1.0,1.079,120.0,mp2,1,O,VDD,-0.1663699313
1.0,1.079,120.0,mp2,2,O,VDD,-0.2691770608
1.0,1.079,120.0,mp2,0,C,Becke,0.733539929
1.0,1.079,120.0,mp2,1,O,Becke,-0.3030817563
1.0,1.079,120.0,mp2,2,O,Becke,-0.4304581727
1.0,1.079,120.0,mp2,0,C,ADCH,0.7335239608
1.0,1.079,120.0,mp2,1,O,ADCH,-0.3031033354
1.0,1.079,120.0,mp2,2,O,ADCH,-0.4304206255
1.0,1.079,120.0,mp2,0,C,CHELPG,0.8871040437
1.0,1.079,120.0,mp2,1,O,CHELPG,-0.3836866558
1.0,1.079,120.0,mp2,2,O,CHELPG,-0.5034173879
1.0,1.079,120.0,mp2,0,C,MK,0.8073232142
1.0,1.079,120.0,mp2,1,O,MK,-0.3413696557
1.0,1.079,120.0,mp2,2,O,MK,-0.4659535585
1.0,1.079,120.0,mp2,0,C,CM5,0.5366725077
1.0,1.079,120.0,mp2,1,O,CM5,-0.2338435692
1.0,1.079,120.0,mp2,2,O,CM5,-0.3028289385
1.0,1.079,120.0,mp2,0,C,MBIS,1.2273134214
1.0,1.079,120.0,mp2,1,O,MBIS,-0.5608552841
1.0,1.079,120.0,mp2,2,O,MBIS,-0.6664581373
1.0,1.079,120.0,mp2,0,C,MBIS_raw,1.22731256
1.0,1.079,120.0,mp2,1,O,MBIS_raw,-0.56085683
1.0,1.079,120.0,mp2,2,O,MBIS_raw,-0.6664597
1.021,1.079,120.0,hf,0,C,Hirshfeld,0.4215766926
1.021,1.079,120.0,hf,1,O,Hirshfeld,-0.1816152094
1.021,1.079,120.0,hf,2,O,Hirshfeld,-0.2399614832
1.021,1.079,120.0,hf,0,C,VDD,0.4407854413
1.021,1.079,120.0,hf,1,O,VDD,-0.1807392304
1.021,1.079,120.0,hf,2,O,VDD,-0.260046211
1.021,1.079,120.0,hf,0,C,Becke,0.7277675857
1.021,1.079,120.0,hf,1,O,Becke,-0.3181155357
1.021,1.079,120.0,hf,2,O,Becke,-0.4096520501
1.021,1.079,120.0,hf,0,C,ADCH,0.7277455353
1.021,1.079,120.0,hf,1,O,ADCH,-0.3181197853
1.021,1.079,120.0,hf,2,O,ADCH,-0.40962575
1.021,1.079,120.0,hf,0,C,CHELPG,0.880179158
1.021,1.079,120.0,hf,1,O,CHELPG,-0.3968196512
1.021,1.079,120.0,hf,2,O,CHELPG,-0.4833595068
1.021,1.079,120.0,hf,0,C,MK,0.8013077075
1.021,1.079,120.0,hf,1,O,MK,-0.3559227527
1.021,1.079,120.0,hf,2,O,MK,-0.4453849549
1.021,1.079,120.0,hf,0,C,CM5,0.5331138023
1.021,1.079,120.0,hf,1,O,CM5,-0.2413780837
1.021,1.079,120.0,hf,2,O,CM5,-0.2917357186
1.021,1.079,120.0,hf,0,C,MBIS,1.2144562087
1.021,1.079,120.0,hf,1,O,MBIS,-0.5693034655
1.021,1.079,120.0,hf,2,O,MBIS,-0.6451527432
1.021,1.079,120.0,hf,0,C,MBIS_raw,1.21445233
1.021,1.079,120.0,hf,1,O,MBIS_raw,-0.56931042
1.021,1.079,120.0,hf,2,O,MBIS_raw,-0.64515976
1.021,1.079,120.0,mp2,0,C,Hirshfeld,0.4215766926
1.021,1.079,120.0,mp2,1,O,Hirshfeld,-0.1816152094
1.021,1.079,120.0,mp2,2,O,Hirshfeld,-0.2399614832
1.021,1.079,120.0,mp2,0,C,VDD,0.4407854413
1.021,1.079,120.0,mp2,1,O,VDD,-0.1807392304
1.021,1.079,120.0,mp2,2,O,VDD,-0.260046211
1.021,1.079,120.0,mp2,0,C,Becke,0.7277675857
1.021,1.079,120.0,mp2,1,O,Becke,-0.3181155357
1.021,1.079,120.0,mp2,2,O,Becke,-0.4096520501
1.021,1.079,120.0,mp2,0,C,ADCH,0.7277455353
1.021,1.079,120.0,mp2,1,O,ADCH,-0.3181197853
1.021,1.079,120.0,mp2,2,O,ADCH,-0.40962575
1.021,1.079,120.0,mp2,0,C,CHELPG,0.880179158
1.021,1.079,120.0,mp2,1,O,CHELPG,-0.3968196512
1.021,1.079,120.0,mp2,2,O,CHELPG,-0.4833595068
1.021,1.079,120.0,mp2,0,C,MK,0.8013077075
1.021,1.079,120.0,mp2,1,O,MK,-0.3559227527
1.021,1.079,120.0,mp2,2,O,MK,-0.4453849549
1.021,1.079,120.0,mp2,0,C,CM5,0.5331138023
1.021,1.079,120.0,mp2,1,O,CM5,-0.2413780837
1.021,1.079,120.0,mp2,2,O,CM5,-0.2917357186
1.021,1.079,120.0,mp2,0,C,MBIS,1.2144562087
1.021,1.079,120.0,mp2,1,O,MBIS,-0.5693034655
1.021,1.079,120.0,mp2,2,O,MBIS,-0.6451527432
1.021,1.079,120.0,mp2,0,C,MBIS_raw,1.21445233
1.021,1.079,120.0,mp2,1,O,MBIS_raw,-0.56931042
1.021,1.079,120.0,mp2,2,O,MBIS_raw,-0.64515976
